+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|   Problem ID | LLM    | Prompt Type      | Gen 1                                                                               | Gen 2                                                                               | Gen 3                                                                               |   Pass@1 |   Pass@3 | RawResults                                                                                                                                                                                                                                                                                                                                                                                                                             |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            7 | LLaMa  | Chain of Thought | def parse_nested_parens(paren_string: str) -> List[int]:                            | def parse_nested_parens(paren_string: str) -> List[int]:                            | def parse_nested_parens(paren_string: str) -> List[int]:                            |     0    |        0 | [(0, {'task_id': 0, 'passed': False, 'result': "failed: expected an indented block after 'for' statement on line 18 (<string>, line 22)", 'completion_id': 0}), (1, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 27)', 'completion_id': 1}), (2, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 15)', 'completion_id': 2})]                              |
|              |        |                  |     """                                                                             |     max_depth = 0                                                                   |     levels = [0]                                                                    |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  |     This functi...                                                                  |     g...                                                                            |     ma...                                                                           |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            8 | LLaMa  | Chain of Thought | def filter_by_substring(strings: List[str], substring: str) -> List[str]:           | def filter_by_substring(strings: List[str], substring: str) -> List[str]:           | def filter_by_substring(strings: List[str], substring: str) -> List[str]:           |     0    |        0 | [(0, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 13)', 'completion_id': 0}), (1, {'task_id': 0, 'passed': False, 'result': "failed: name 'List' is not defined", 'completion_id': 1}), (2, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 10)', 'completion_id': 2})]                                                                                   |
|              |        |                  |     ""...                                                                           |     fi...                                                                           |     fi...                                                                           |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            9 | LLaMa  | Chain of Thought | from typing import List, Tuple                                                      | def sum_product(numbers: List[int]) -> Tuple[int, int]:                             | def sum_product(numbers: List[int]) -> Tuple[int, int]:                             |    33.33 |      100 | [(0, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 0}), (1, {'task_id': 0, 'passed': False, 'result': "failed: name 'List' is not defined", 'completion_id': 1}), (2, {'task_id': 0, 'passed': False, 'result': "failed: name 'List' is not defined", 'completion_id': 2})]                                                                                                                                      |
|              |        |                  |                                                                                     |     sum_numbers = sum(nu...                                                         |     sum_numbers = 0                                                                 |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  |                                                                                     |                                                                                     |     ...                                                                             |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  | def sum_product(numbers: List[int]) -> Tuple[in...                                  |                                                                                     |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|           10 | LLaMa  | Chain of Thought | from typing import List                                                             | def rolling_max(numbers: List[int]) -> List[int]:                                   | def rolling_max(numbers: List[int]) -> List[int]:                                   |    33.33 |      100 | [(0, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 0}), (1, {'task_id': 0, 'passed': False, 'result': "failed: name 'List' is not defined", 'completion_id': 1}), (2, {'task_id': 0, 'passed': False, 'result': "failed: name 'List' is not defined", 'completion_id': 2})]                                                                                                                                      |
|              |        |                  |                                                                                     |     n = len(numbers)                                                                |     res = []                                                                        |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  |                                                                                     |     res =...                                                                        |     for i in rang...                                                                |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  | def rolling_max(numbers: List[int]) -> List[int]:                                   |                                                                                     |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  |     ...                                                                             |                                                                                     |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            1 | LLaMa  | Self-Debugging   | from typing import List                                                             | from typing import List                                                             | from typing import List                                                             |    33.33 |      100 | [(0, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 1)', 'completion_id': 0}), (1, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 1)', 'completion_id': 1}), (2, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 2})]                                                                                                                  |
|              |        |                  |                                                                                     |                                from typing import Option...                         |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  | def has_close_elements(numbers: List[float], threshold:...                          |                                                                                     |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  |                                                                                     |                                                                                     | def has_close_elements(numbers: List[float], threshold...                           |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            2 | LLaMa  | Self-Debugging   | from typing import List                                                             | from typing import List                                                             | from typing import List                                                             |   100    |      100 | [(0, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 0}), (1, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 1}), (2, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 2})]                                                                                                                                                                                                |
|              |        |                  |                                                                                     |                                                                                     |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  |                                                                                     |                                                                                     |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  | def separate_paren_groups(paren_string: str) -> List[s...                           | def separate_paren_groups(paren_string: str) -> List[s...                           | def separate_paren_groups(paren_string: str) -> List[s...                           |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            3 | LLaMa  | Self-Debugging   | def truncate_number(number: float) -> float:                                        | def truncate_number(number: float) -> float:                                        | import math                                                                         |    66.67 |      100 | [(0, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 7)', 'completion_id': 0}), (1, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 1}), (2, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 2})]                                                                                                                                                         |
|              |        |                  |     integer = int(number)                                                           |     integer_part = int(number)                                                      |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  |     decim...                                                                        |     ...                                                                             |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  |                                                                                     |                                                                                     | def truncate_number(number: float) -> float:                                        |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  |                                                                                     |                                                                                     |     decimal_part = nu...                                                            |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            4 | LLaMa  | Self-Debugging   | from typing import List                                                             | from typing import List                                                             | from typing import List                                                             |    66.67 |      100 | [(0, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 1)', 'completion_id': 0}), (1, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 1}), (2, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 2})]                                                                                                                                                         |
|              |        |                  |                                                                                     |                                                                                     | from typing import List                                                             |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  | def below_zero(operations: List[int]) -> bool:                                      |                                                                                     |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  |                                                                                     | def below_zero(operations: List[int]) -> bool:                                      |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  |     cur...                                                                          |     bal...                                                                          | def below_zero(operations: Lis...                                                   |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            5 | LLaMa  | Self-Debugging   | from typing import List                                                             | from typing import List                                                             | from typing import List                                                             |   100    |      100 | [(0, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 0}), (1, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 1}), (2, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 2})]                                                                                                                                                                                                |
|              |        |                  |                                                                                     |                                                                                     |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  |                                                                                     |                                                                                     |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  | def mean_absolute_deviation(numbers: List[float]) -> f...                           | def mean_absolute_deviation(numbers: List[float]) -> f...                           | def mean_absolute_deviation(numbers: List[float]) -> f...                           |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            6 | LLaMa  | Self-Debugging   | from typing import List                                                             | from typing import List                                                             | import typing                                                                       |   100    |      100 | [(0, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 0}), (1, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 1}), (2, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 2})]                                                                                                                                                                                                |
|              |        |                  |                                                                                     |                                                                                     | from typing import List                                                             |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  |                                                                                     |                                                                                     |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  | def intersperse(numbers: List[int], delimeter: int) ->...                           | def intersperse(numbers: List[int], delimeter: int) ->...                           |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  |                                                                                     |                                                                                     | def intersperse(numbers: typing.List[int...                                         |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            7 | LLaMa  | Self-Debugging   | import typing                                                                       | from typing import List                                                             | from typing import List                                                             |    66.67 |      100 | [(0, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 1)', 'completion_id': 0}), (1, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 1}), (2, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 2})]                                                                                                                                                         |
|              |        |                  |                                                                                     |                                                                                     |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  |                                def parse_nested_parens(paren_stri...                |                                                                                     |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  |                                                                                     | def parse_nested_parens(paren_string: str) -> List[int...                           | def parse_nested_parens(paren_string: str) -> List[int...                           |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            8 | LLaMa  | Self-Debugging   | from typing import List                                                             | from typing import List                                                             | from typing import List                                                             |   100    |      100 | [(0, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 0}), (1, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 1}), (2, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 2})]                                                                                                                                                                                                |
|              |        |                  |                                                                                     |                                                                                     |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  |                                                                                     |                                                                                     |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  | def filter_by_substring(strings: List[str], substring:...                           | def filter_by_substring(strings: List[str], substring:...                           | def filter_by_substring(strings: List[str], substring:...                           |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            9 | LLaMa  | Self-Debugging   | from typing import List, Tuple                                                      | from typing import List, Tuple                                                      | from typing import List, Tuple                                                      |    66.67 |      100 | [(0, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 0}), (1, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 1)', 'completion_id': 1}), (2, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 2})]                                                                                                                                                         |
|              |        |                  |                                                                                     |                                                                                     |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  |                                                                                     | def sum_product(numbers: List[int]) -> Tuple[int...                                 |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  | def sum_product(numbers: List[int]) -> Tuple[in...                                  |                                                                                     | def sum_product(numbers: List[int]) -> Tuple[in...                                  |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|           10 | LLaMa  | Self-Debugging   | from typing import List                                                             | from typing import List                                                             | from typing import List                                                             |    33.33 |      100 | [(0, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 0}), (1, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 1)', 'completion_id': 1}), (2, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 3)', 'completion_id': 2})]                                                                                                                  |
|              |        |                  |                                                                                     |                                                                                     | from typing import Tuple                                                            |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  |                                                                                     |                                                                                     |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  | def rolling_max(numbers: List[int]) -> List[int]:                                   | def rolling_max(numbers: List[int]) -> List[int]:                                   | def rolling_max(numbers: List[...                                                   |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  |     ...                                                                             |     ...                                                                             |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            1 | Vicuna | Chain of Thought | def has\_close\_elements(numbers: List[float], threshold: float) -> bool:           | Here is the solution:                                                               | Solution:                                                                           |     0    |        0 | [(0, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected character after line continuation character (<string>, line 2)', 'completion_id': 0}), (1, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 2)', 'completion_id': 1}), (2, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 3)', 'completion_id': 2})]                                      |
|              |        |                  |     ""...                                                                           | ```python                                                                           |                               To solve this problem, we can iterate th...           |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  |                                                                                     |     def has_close_elements(numbers: List[float],...                                 |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            2 | Vicuna | Chain of Thought | Solution:                                                                           | Here's the function to separate the paren groups:                                   | Solution                                                                            |     0    |        0 | [(0, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 2)', 'completion_id': 0}), (1, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 2)', 'completion_id': 1}), (2, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 2)', 'completion_id': 2})]                                                                           |
|              |        |                  |                                                                                     |                               ...                                                   |                               -------                                               |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  |                               The problem statement requires us to se...            |                                                                                     |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  |                                                                                     |                                                                                     |   ...                                                                               |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            3 | Vicuna | Chain of Thought | The function should return the decimal part of the input number. To do this, we ... | def truncate\_number(number: float) -> float:                                       | The function `truncate_number` takes a float number as input, and it returns the... |     0    |        0 | [(0, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 2)', 'completion_id': 0}), (1, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected character after line continuation character (<string>, line 3)', 'completion_id': 1}), (2, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 2)', 'completion_id': 2})]                                      |
